param_name,file,window,mean_abs_roll_err_deg,mean_abs_pitch_err_deg,mean_abs_rp_err_deg,yaw_tail_slope_abs_dps,conv_time_s,acc_weight_mean
"current_kpki,gate=10/12",04150000.csv,first_static,0.027299365727927873,0.02764972864114443,0.027474547184536152,0.00015784806826076503,11.544,0.9945709142802315
"current_kpki,gate=10/12",04150000.csv,last_static,0.04641171305755142,0.034892907684983175,0.0406523103712673,8.644962636637699e-05,,0.9950697292409005
"current_kpki,gate=10/12",04150000.csv,dynamic,,,,,,0.9892580660143357
"current_kpki,gate=10/12",04150008.csv,first_static,0.09501055660451395,0.11869280993626868,0.10685168327039132,0.0027627292359423627,9.83,0.9929051779401374
"current_kpki,gate=10/12",04150008.csv,last_static,0.020812117895689496,0.018076813125840172,0.019444465510764834,0.0010196308726780376,0.9579999999999984,0.994341379095503
"current_kpki,gate=10/12",04150008.csv,dynamic,,,,,,0.4711848903731654
"current_kpki,gate=10/18",04150000.csv,first_static,0.027299365727927873,0.02764972864114443,0.027474547184536152,0.00015784806826076503,11.544,0.9945709142802315
"current_kpki,gate=10/18",04150000.csv,last_static,0.04641171305755142,0.034892907684983175,0.0406523103712673,8.644962636637699e-05,,0.9950697292409005
"current_kpki,gate=10/18",04150000.csv,dynamic,,,,,,0.9892580660143357
"current_kpki,gate=10/18",04150008.csv,first_static,0.09501055660451395,0.11869280993626868,0.10685168327039132,0.0027627292359423627,9.83,0.9929051779401374
"current_kpki,gate=10/18",04150008.csv,last_static,0.020739808698721857,0.017993309870059263,0.019366559284390558,0.0010106844061490991,0.9579999999999984,0.994341379095503
"current_kpki,gate=10/18",04150008.csv,dynamic,,,,,,0.4947577381093066
"current_kpki,gate=10/24",04150000.csv,first_static,0.027299365727927873,0.02764972864114443,0.027474547184536152,0.00015784806826076503,11.544,0.9945709142802315
"current_kpki,gate=10/24",04150000.csv,last_static,0.04641171305755142,0.034892907684983175,0.0406523103712673,8.644962636637699e-05,,0.9950697292409005
"current_kpki,gate=10/24",04150000.csv,dynamic,,,,,,0.9892580660143357
"current_kpki,gate=10/24",04150008.csv,first_static,0.09501055660451395,0.11869280993626868,0.10685168327039132,0.0027627292359423627,9.83,0.9929051779401374
"current_kpki,gate=10/24",04150008.csv,last_static,0.020709815630826602,0.01794788805941795,0.019328851845122275,0.0010064843272128562,0.9579999999999984,0.994341379095503
"current_kpki,gate=10/24",04150008.csv,dynamic,,,,,,0.5096188396897097
"current_kpki,gate=12/12",04150000.csv,first_static,0.027299365727927873,0.02764972864114443,0.027474547184536152,0.00015784806826076503,11.544,0.9945709142802315
"current_kpki,gate=12/12",04150000.csv,last_static,0.04641171305755142,0.034892907684983175,0.0406523103712673,8.644962636637699e-05,,0.9950697292409005
"current_kpki,gate=12/12",04150000.csv,dynamic,,,,,,0.9892580660143357
"current_kpki,gate=12/12",04150008.csv,first_static,0.09501055660451395,0.11869280993626868,0.10685168327039132,0.0027627292359423627,9.83,0.9929051779401374
"current_kpki,gate=12/12",04150008.csv,last_static,0.02080068990718225,0.01793565556658642,0.019368172736884334,0.0010127313739125908,0.9579999999999984,0.994341379095503
"current_kpki,gate=12/12",04150008.csv,dynamic,,,,,,0.49629264580533633
"current_kpki,gate=12/18",04150000.csv,first_static,0.027299365727927873,0.02764972864114443,0.027474547184536152,0.00015784806826076503,11.544,0.9945709142802315
"current_kpki,gate=12/18",04150000.csv,last_static,0.04641171305755142,0.034892907684983175,0.0406523103712673,8.644962636637699e-05,,0.9950697292409005
"current_kpki,gate=12/18",04150000.csv,dynamic,,,,,,0.9892580660143357
"current_kpki,gate=12/18",04150008.csv,first_static,0.09501055660451395,0.11869280993626868,0.10685168327039132,0.0027627292359423627,9.83,0.9929051779401374
"current_kpki,gate=12/18",04150008.csv,last_static,0.02073937445016959,0.017899712441330828,0.01931954344575021,0.0010065959703745115,0.9579999999999984,0.994341379095503
"current_kpki,gate=12/18",04150008.csv,dynamic,,,,,,0.5132168522619641
"current_kpki,gate=12/24",04150000.csv,first_static,0.027299365727927873,0.02764972864114443,0.027474547184536152,0.00015784806826076503,11.544,0.9945709142802315
"current_kpki,gate=12/24",04150000.csv,last_static,0.04641171305755142,0.034892907684983175,0.0406523103712673,8.644962636637699e-05,,0.9950697292409005
"current_kpki,gate=12/24",04150000.csv,dynamic,,,,,,0.9892580660143357
"current_kpki,gate=12/24",04150008.csv,first_static,0.09501055660451395,0.11869280993626868,0.10685168327039132,0.0027627292359423627,9.83,0.9929051779401374
"current_kpki,gate=12/24",04150008.csv,last_static,0.020710026323716102,0.017877165069923814,0.01929359569681996,0.0010034151289390275,0.9579999999999984,0.994341379095503
"current_kpki,gate=12/24",04150008.csv,dynamic,,,,,,0.5240851910459178
"current_kpki,gate=14/12",04150000.csv,first_static,0.027299365727927873,0.02764972864114443,0.027474547184536152,0.00015784806826076503,11.544,0.9945709142802315
"current_kpki,gate=14/12",04150000.csv,last_static,0.04641171305755142,0.034892907684983175,0.0406523103712673,8.644962636637699e-05,,0.9950697292409005
"current_kpki,gate=14/12",04150000.csv,dynamic,,,,,,0.9892580660143357
"current_kpki,gate=14/12",04150008.csv,first_static,0.09501055660451395,0.11869280993626868,0.10685168327039132,0.0027627292359423627,9.83,0.9929051779401374
"current_kpki,gate=14/12",04150008.csv,last_static,0.020782620580934084,0.017843754276317035,0.01931318742862556,0.0010073616041367138,0.9569999999999936,0.994341379095503
"current_kpki,gate=14/12",04150008.csv,dynamic,,,,,,0.5139567826512564
"current_kpki,gate=14/18",04150000.csv,first_static,0.027299365727927873,0.02764972864114443,0.027474547184536152,0.00015784806826076503,11.544,0.9945709142802315
"current_kpki,gate=14/18",04150000.csv,last_static,0.04641171305755142,0.034892907684983175,0.0406523103712673,8.644962636637699e-05,,0.9950697292409005
"current_kpki,gate=14/18",04150000.csv,dynamic,,,,,,0.9892580660143357
"current_kpki,gate=14/18",04150008.csv,first_static,0.09501055660451395,0.11869280993626868,0.10685168327039132,0.0027627292359423627,9.83,0.9929051779401374
"current_kpki,gate=14/18",04150008.csv,last_static,0.020730281393906844,0.017834895132324613,0.019282588263115727,0.0010030660963388197,0.9569999999999936,0.994341379095503
"current_kpki,gate=14/18",04150008.csv,dynamic,,,,,,0.5262944570072295
