param_name,static_err_mean_deg,yaw_tail_slope_abs_dps,start_conv_s_mean,land_conv_s,dynamic_acc_weight_mean,dynamic_rp_std_sum,score,phase,mode,kp,ki,gate_start,gate_slope,z_alpha,fast_gain_scale,fast_gain_window_s
"current_combo,zalpha=0.001",0.0485731003644613,0.0005624582905807305,10.687000000000001,0.9579999999999984,0.5132168522619641,5.122385322871358,21.958301694562277,z_alpha,current_combo,1.0,0.02,12.0,18.0,0.001,1.0,0.0
"current_combo,zalpha=0.002",0.048574521067986244,0.0005465227983704442,10.687000000000001,0.9579999999999984,0.5132168522619641,5.122473963844028,21.955256666472717,z_alpha,current_combo,1.0,0.02,12.0,18.0,0.002,1.0,0.0
"current_combo,zalpha=0.003",0.04857503215196816,0.000540954480336845,10.687000000000001,0.9579999999999984,0.5132168522619641,5.122519606203126,21.954194111264187,z_alpha,current_combo,1.0,0.02,12.0,18.0,0.003,1.0,0.0
"current_combo,zalpha=0.004",0.04857528877517145,0.0005410447423218922,10.687000000000001,0.9579999999999984,0.5132168522619641,5.122547344275056,21.954237825981522,z_alpha,current_combo,1.0,0.02,12.0,18.0,0.004,1.0,0.0
"best_combo,zalpha=0.001",0.040606878467176234,0.0004811932834321432,4.077,0.9110000000000014,0.5343612661810356,5.217280881196544,11.183426503404055,z_alpha,best_combo,1.4,0.03,14.0,24.0,0.001,1.0,0.0
"best_combo,zalpha=0.002",0.0406073205601265,0.0004650207354538942,4.077,0.9110000000000014,0.5343612661810356,5.217308250557222,11.180236203103432,z_alpha,best_combo,1.4,0.03,14.0,24.0,0.002,1.0,0.0
"best_combo,zalpha=0.003",0.04060742250481174,0.00045929167786125835,4.077,0.9110000000000014,0.5343612661810356,5.217322634126833,11.179100586053426,z_alpha,best_combo,1.4,0.03,14.0,24.0,0.003,1.0,0.0
"best_combo,zalpha=0.004",0.04060744449687321,0.0004592719696316881,4.077,0.9110000000000014,0.5343612661810356,5.217331479415842,11.17909884361366,z_alpha,best_combo,1.4,0.03,14.0,24.0,0.004,1.0,0.0
