param_name,static_err_mean_deg,yaw_tail_slope_abs_dps,start_conv_s_mean,land_conv_s,dynamic_acc_weight_mean,dynamic_rp_std_sum,score,phase,mode,kp,ki,gate_start,gate_slope,z_alpha,fast_gain_scale,fast_gain_window_s
"current_kpki,gate=10/12",0.0486057515842399,0.0005530402495222072,10.687000000000001,0.9579999999999984,0.4711848903731654,5.217962111066291,21.959683208328435,gate,current_kpki,1.0,0.02,10.0,12.0,0.002,1.0,0.0
"current_kpki,gate=10/18",0.04858627502764633,0.000548567016257738,10.687000000000001,0.9579999999999984,0.4947577381093066,5.14854207478109,21.956840906016183,gate,current_kpki,1.0,0.02,10.0,18.0,0.002,1.0,0.0
"current_kpki,gate=10/24",0.04857684816782926,0.0005464669767896165,10.687000000000001,0.9579999999999984,0.5096188396897097,5.123912629302945,21.955478212140854,gate,current_kpki,1.0,0.02,10.0,24.0,0.002,1.0,0.0
"current_kpki,gate=12/12",0.04858667839076977,0.0005495905001394838,10.687000000000001,0.9579999999999984,0.49629264580533633,5.166674184012107,21.95708593910488,gate,current_kpki,1.0,0.02,12.0,12.0,0.002,1.0,0.0
"current_kpki,gate=12/18",0.048574521067986244,0.0005465227983704442,10.687000000000001,0.9579999999999984,0.5132168522619641,5.122473963844028,21.955256666472717,gate,current_kpki,1.0,0.02,12.0,18.0,0.002,1.0,0.0
"current_kpki,gate=12/24",0.04856803413075368,0.0005449323776527022,10.687000000000001,0.9579999999999984,0.5240851910459178,5.112377416432229,21.95428988860591,gate,current_kpki,1.0,0.02,12.0,24.0,0.002,1.0,0.0
"current_kpki,gate=14/12",0.04857293206370508,0.0005469056152515453,10.687000000000001,0.9569999999999936,0.5139567826512564,5.13362022937428,21.954174329420812,gate,current_kpki,1.0,0.02,14.0,12.0,0.002,1.0,0.0
"current_kpki,gate=14/18",0.04856528227232762,0.0005447578613525983,10.687000000000001,0.9569999999999936,0.5262944570072295,5.108518504782696,21.95297979950328,gate,current_kpki,1.0,0.02,14.0,18.0,0.002,1.0,0.0
"current_kpki,gate=14/24",0.04856112334639874,0.0005436190195876223,10.687000000000001,0.9569999999999936,0.5343612661810356,5.107444438265588,21.952336138557396,gate,current_kpki,1.0,0.02,14.0,24.0,0.002,1.0,0.0
"best_kpki,gate=10/12",0.04064119057493263,0.00047794720019065935,4.077,0.9110000000000014,0.4711848903731654,5.312170593589103,11.186208497531396,gate,best_kpki,1.4,0.03,10.0,12.0,0.002,1.0,0.0
"best_kpki,gate=10/18",0.040625648621473325,0.0004716935053493312,4.077,0.9110000000000014,0.4947577381093066,5.238215851813236,11.1834035632172,gate,best_kpki,1.4,0.03,10.0,18.0,0.002,1.0,0.0
"best_kpki,gate=10/24",0.040618327262901155,0.00046877392447156193,4.077,0.9110000000000014,0.5096188396897097,5.216604503476912,11.182087511184427,gate,best_kpki,1.4,0.03,10.0,24.0,0.002,1.0,0.0
"best_kpki,gate=12/12",0.04062790205488556,0.00047347690745871637,4.077,0.9110000000000014,0.49629264580533633,5.267477267362777,11.1839855869803,gate,best_kpki,1.4,0.03,12.0,12.0,0.002,1.0,0.0
"best_kpki,gate=12/18",0.04061745689478909,0.000468984577568897,4.077,0.9110000000000014,0.5132168522619641,5.221583159381138,11.18204260499269,gate,best_kpki,1.4,0.03,12.0,18.0,0.002,1.0,0.0
"best_kpki,gate=12/24",0.04061236679501147,0.00046680976040845365,4.077,0.9110000000000014,0.5240851910459178,5.215122071032141,11.18109863158284,gate,best_kpki,1.4,0.03,12.0,24.0,0.002,1.0,0.0
"best_kpki,gate=14/12",0.04061713205372003,0.0004695953314255871,4.077,0.9110000000000014,0.5139567826512564,5.239604454364546,11.182132271657121,gate,best_kpki,1.4,0.03,14.0,12.0,0.002,1.0,0.0
"best_kpki,gate=14/18",0.040610569210640636,0.0004665312796764512,4.077,0.9110000000000014,0.5262944570072295,5.2145201385752635,11.180863176999356,gate,best_kpki,1.4,0.03,14.0,18.0,0.002,1.0,0.0
"best_kpki,gate=14/24",0.0406073205601265,0.0004650207354538942,4.077,0.9110000000000014,0.5343612661810356,5.217308250557222,11.180236203103432,gate,best_kpki,1.4,0.03,14.0,24.0,0.002,1.0,0.0
