param_name,file,window,mean_abs_roll_err_deg,mean_abs_pitch_err_deg,mean_abs_rp_err_deg,yaw_tail_slope_abs_dps,conv_time_s,acc_weight_mean
"kp=0.800,ki=0.010",04150000.csv,first_static,0.03779217929241796,0.03083887596102407,0.034315527626721014,0.00015445376640574793,40.002,0.9945709142802315
"kp=0.800,ki=0.010",04150000.csv,last_static,0.046446073155086816,0.03498599852419646,0.04071603583964164,6.323501268757743e-05,,0.9950697292409005
"kp=0.800,ki=0.010",04150000.csv,dynamic,,,,,,0.9892580660143357
"kp=0.800,ki=0.010",04150008.csv,first_static,0.13774327637187164,0.13696053481929835,0.137351905595585,0.0035726944494219506,40.385,0.9929051779401374
"kp=0.800,ki=0.010",04150008.csv,last_static,0.039077872257749134,0.016096424317307633,0.027587148287528382,0.00194319548182137,0.9770000000000039,0.994341379095503
"kp=0.800,ki=0.010",04150008.csv,dynamic,,,,,,0.5132168522619641
"kp=0.800,ki=0.015",04150000.csv,first_static,0.03128892914231227,0.030668594658023674,0.030978761900167975,0.00015320819189371327,13.577,0.9945709142802315
"kp=0.800,ki=0.015",04150000.csv,last_static,0.04642635186103188,0.03502169396272389,0.04072402291187789,7.310487242627625e-05,,0.9950697292409005
"kp=0.800,ki=0.015",04150000.csv,dynamic,,,,,,0.9892580660143357
"kp=0.800,ki=0.015",04150008.csv,first_static,0.11864866090047924,0.13958017808620535,0.1291144194933423,0.0028905006378100325,14.152000000000001,0.9929051779401374
"kp=0.800,ki=0.015",04150008.csv,last_static,0.025630547166252713,0.019367876849726975,0.022499212007989842,0.001165520430094212,0.967000000000013,0.994341379095503
"kp=0.800,ki=0.015",04150008.csv,dynamic,,,,,,0.5132168522619641
"kp=0.800,ki=0.020",04150000.csv,first_static,0.028123346597094676,0.03207800920365669,0.030100677900375683,0.00017457260065209673,11.541,0.9945709142802315
"kp=0.800,ki=0.020",04150000.csv,last_static,0.0464258091193107,0.03507687191158727,0.040751340515448986,9.966082173107238e-05,,0.9950697292409005
"kp=0.800,ki=0.020",04150000.csv,dynamic,,,,,,0.9892580660143357
"kp=0.800,ki=0.020",04150008.csv,first_static,0.10400388731591957,0.15014736022719924,0.1270756237715594,0.002350985391870079,15.245000000000001,0.9929051779401374
"kp=0.800,ki=0.020",04150008.csv,last_static,0.020203605068376044,0.021884414333147122,0.021044009700761583,0.0007444061430096053,0.9629999999999939,0.994341379095503
"kp=0.800,ki=0.020",04150008.csv,dynamic,,,,,,0.5132168522619641
