I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10
0.066060,0.020552,-1.427228,-5.596782,9.065145,0.459166,-1.187876,8.027609,-0.089383,0.000000,0.000000
0.065053,0.017104,-1.365783,-6.146151,6.734755,-8.398139,-1.230340,8.034790,-0.087547,0.000000,0.000000
0.062831,0.020677,-1.296150,-2.708924,0.547978,2.915098,-1.270682,8.068192,-0.077487,0.000000,0.000000
0.057407,0.032441,-1.225637,3.907380,2.732045,-2.577819,-1.333234,8.034752,-0.048668,0.000000,0.000000
0.045221,0.053503,-1.149306,7.735164,19.153280,34.922523,-1.379739,8.047442,-0.037758,0.000000,0.000000
0.029100,0.076180,-1.090471,5.615651,3.045464,39.502625,-1.415144,8.118620,-0.033493,0.000000,0.000000
0.002144,0.082141,-1.124756,27.355196,-4.937077,27.671690,-1.435523,8.218189,-0.032522,0.000000,0.000000
-0.033986,0.065349,-1.267970,3.131577,1.445858,10.720514,-1.456388,8.266375,-0.040141,0.000000,0.000000
-0.062359,0.035058,-1.451622,-20.698851,1.661175,-44.916790,-1.494679,8.284763,-0.059016,0.000000,0.000000
-0.069051,0.000845,-1.603792,-11.479816,-13.073389,-58.897724,-1.515123,8.309331,-0.064071,0.000000,0.000000
-0.055758,-0.029873,-1.691180,-0.919844,6.612562,-9.858721,-1.514294,8.366939,-0.053015,0.000000,0.000000
-0.035849,-0.057237,-1.701449,8.290018,6.671031,21.621737,-1.516982,8.418646,-0.042005,0.000000,0.000000
-0.018846,-0.077583,-1.645285,-13.979326,1.903758,-21.500490,-1.548757,8.463953,-0.039871,0.000000,0.000000
-0.009242,-0.084142,-1.565623,21.534235,3.059855,24.281481,-1.563967,8.527111,-0.039049,0.000000,0.000000
-0.011305,-0.072905,-1.511676,2.423082,8.857808,47.756775,-1.575897,8.580670,-0.039916,0.000000,0.000000
-0.018937,-0.050849,-1.494189,11.121717,-5.296496,14.780445,-1.589627,8.624134,-0.035085,0.000000,0.000000
-0.034497,-0.028512,-1.527389,10.244496,-14.222704,-14.765538,-1.606965,8.637814,-0.021985,0.000000,0.000000
-0.056359,-0.010523,-1.596584,1.823070,9.338349,12.665290,-1.667118,8.653268,-0.016981,0.000000,0.000000
