I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10
500462.000000,0.330000,0.756452,-2.976252,-0.075867,0.000000,-0.400000,0.160983,1.458312,-0.014215,0.000000
500463.000000,0.330000,0.756409,-2.976252,-0.071306,0.000000,-0.400000,0.160995,1.458312,-0.022846,0.000000
500466.000000,0.330000,0.756373,-2.976252,-0.064042,0.000000,-0.400000,0.160998,1.458312,-0.030923,0.000000
500467.000000,0.330000,0.756327,-2.976252,-0.034919,0.000000,-0.400000,0.160956,1.458312,-0.055244,0.000000
500468.000000,0.330000,0.756335,-2.976252,-0.026198,0.000000,-0.400000,0.160929,1.458312,-0.060558,0.000000
500469.000000,0.330000,0.756348,-2.976252,-0.023188,0.000000,-0.400000,0.160900,1.458312,-0.061927,0.000000
500470.000000,0.330000,0.756362,-2.976252,-0.025019,0.000000,-0.400000,0.160873,1.458312,-0.060630,0.000000
500471.000000,0.330000,0.756376,-2.976252,-0.026900,0.000000,-0.400000,0.160849,1.458312,-0.057642,0.000000
500472.000000,0.330000,0.756391,-2.976252,-0.027496,0.000000,-0.400000,0.160828,1.458312,-0.052668,0.000000
500473.000000,0.330000,0.756407,-2.976252,-0.028929,0.000000,-0.400000,0.160814,1.458312,-0.046269,0.000000
500476.000000,0.330000,0.756424,-2.976252,-0.028783,0.000000,-0.400000,0.160804,1.458312,-0.040967,0.000000
500477.000000,0.330000,0.756524,-2.976252,-0.006040,0.000000,-0.400000,0.160782,1.458312,-0.036740,0.000000
500478.000000,0.330000,0.756569,-2.976252,-0.002561,0.000000,-0.400000,0.160778,1.458312,-0.032378,0.000000
500479.000000,0.330000,0.756614,-2.976252,-0.003502,0.000000,-0.400000,0.160783,1.458312,-0.023328,0.000000
500480.000000,0.330000,0.756655,-2.976252,-0.007401,0.000000,-0.400000,0.160798,1.458312,-0.012792,0.000000
500481.000000,0.330000,0.756689,-2.976252,-0.013376,0.000000,-0.400000,0.160820,1.458312,-0.004836,0.000000
500482.000000,0.330000,0.756715,-2.976252,-0.020966,0.000000,-0.400000,0.160847,1.458312,-0.000349,0.000000
500483.000000,0.330000,0.756734,-2.976252,-0.027954,0.000000,-0.400000,0.160875,1.458312,0.000646,0.000000
500486.000000,0.330000,0.756747,-2.976252,-0.031932,0.000000,-0.400000,0.160898,1.458312,-0.003300,0.000000
500487.000000,0.330000,0.756799,-2.976252,-0.022654,0.000000,-0.400000,0.160876,1.458312,-0.052773,0.000000
500488.000000,0.330000,0.756825,-2.976252,-0.018251,0.000000,-0.400000,0.160829,1.458312,-0.071326,0.000000
500489.000000,0.330000,0.756850,-2.976252,-0.018439,0.000000,-0.400000,0.160767,1.458312,-0.084343,0.000000
500490.000000,0.330000,0.756869,-2.976252,-0.023531,0.000000,-0.400000,0.160699,1.458312,-0.090403,0.000000
500491.000000,0.330000,0.756880,-2.976252,-0.030136,0.000000,-0.400000,0.160632,1.458312,-0.088533,0.000000
500492.000000,0.330000,0.756887,-2.976252,-0.034180,0.000000,-0.400000,0.160574,1.458312,-0.078853,0.000000
500493.000000,0.330000,0.756893,-2.976252,-0.034313,0.000000,-0.400000,0.160529,1.458312,-0.064105,0.000000
500496.000000,0.330000,0.756900,-2.976252,-0.031727,0.000000,-0.400000,0.160499,1.458312,-0.048418,0.000000
500497.000000,0.330000,0.756982,-2.976252,0.002871,0.000000,-0.400000,0.160462,1.458312,-0.024553,0.000000
