I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10
499067.000000,0.330000,0.318691,7.772767,-0.053649,0.000000,-0.400000,-0.061752,7.245545,-0.065238,0.000000
499068.000000,0.330000,0.318665,7.772767,-0.059301,0.000000,-0.400000,-0.061811,7.245545,-0.069036,0.000000
499069.000000,0.330000,0.318631,7.772767,-0.066762,0.000000,-0.400000,-0.061874,7.245545,-0.072344,0.000000
499070.000000,0.330000,0.318591,7.772767,-0.072554,0.000000,-0.400000,-0.061939,7.245545,-0.075290,0.000000
499071.000000,0.330000,0.318550,7.772767,-0.073616,0.000000,-0.400000,-0.062006,7.245545,-0.076441,0.000000
499072.000000,0.330000,0.318514,7.772767,-0.068926,0.000000,-0.400000,-0.062070,7.245545,-0.073408,0.000000
499073.000000,0.330000,0.318486,7.772767,-0.060382,0.000000,-0.400000,-0.062127,7.245545,-0.065786,0.000000
499074.000000,0.330000,0.318467,7.772767,-0.051020,0.000000,-0.400000,-0.062173,7.245545,-0.056131,0.000000
499077.000000,0.330000,0.318456,7.772767,-0.031858,0.000000,-0.400000,-0.062259,7.245545,-0.032475,0.000000
499078.000000,0.330000,0.318457,7.772767,-0.033425,0.000000,-0.400000,-0.062269,7.245545,-0.023824,0.000000
499079.000000,0.330000,0.318456,7.772767,-0.037313,0.000000,-0.400000,-0.062269,7.245545,-0.014915,0.000000
499080.000000,0.330000,0.318452,7.772767,-0.042010,0.000000,-0.400000,-0.062260,7.245545,-0.006811,0.000000
499081.000000,0.330000,0.318446,7.772767,-0.045761,0.000000,-0.400000,-0.062241,7.245545,0.001416,0.000000
499082.000000,0.330000,0.318442,7.772767,-0.045950,0.000000,-0.400000,-0.062211,7.245545,0.009462,0.000000
499083.000000,0.330000,0.318443,7.772767,-0.042694,0.000000,-0.400000,-0.062175,7.245545,0.014411,0.000000
499086.000000,0.330000,0.318448,7.772767,-0.039315,0.000000,-0.400000,-0.062138,7.245545,0.013964,0.000000
499087.000000,0.330000,0.318459,7.772767,-0.049442,0.000000,-0.400000,-0.062077,7.245545,-0.017011,0.000000
499088.000000,0.330000,0.318446,7.772767,-0.060484,0.000000,-0.400000,-0.062082,7.245545,-0.029264,0.000000
499089.000000,0.330000,0.318419,7.772767,-0.074868,0.000000,-0.400000,-0.062096,7.245545,-0.036292,0.000000
499090.000000,0.330000,0.318376,7.772767,-0.089586,0.000000,-0.400000,-0.062114,7.245545,-0.039912,0.000000
499091.000000,0.330000,0.318323,7.772767,-0.100157,0.000000,-0.400000,-0.062136,7.245545,-0.042787,0.000000
499092.000000,0.330000,0.318263,7.772767,-0.104395,0.000000,-0.400000,-0.062158,7.245545,-0.043007,0.000000
499093.000000,0.330000,0.318204,7.772767,-0.103286,0.000000,-0.400000,-0.062178,7.245545,-0.040509,0.000000
499096.000000,0.330000,0.318148,7.772767,-0.098014,0.000000,-0.400000,-0.062199,7.245545,-0.040990,0.000000
499097.000000,0.330000,0.318039,7.772767,-0.061048,0.000000,-0.400000,-0.062299,7.245545,-0.064990,0.000000
499098.000000,0.330000,0.318027,7.772767,-0.046545,0.000000,-0.400000,-0.062343,7.245545,-0.069788,0.000000
499099.000000,0.330000,0.318025,7.772767,-0.033865,0.000000,-0.400000,-0.062386,7.245545,-0.070631,0.000000
499100.000000,0.330000,0.318032,7.772767,-0.024209,0.000000,-0.400000,-0.062427,7.245545,-0.069687,0.000000
499101.000000,0.330000,0.318043,7.772767,-0.018818,0.000000,-0.400000,-0.062466,7.245545,-0.069118,0.000000
499102.000000,0.330000,0.318055,7.772767,-0.016061,0.000000,-0.400000,-0.062502,7.245545,-0.067663,0.000000
499103.000000,0.330000,0.318069,7.772767,-0.013269,0.000000,-0.400000,-0.062534,7.245545,-0.063473,0.000000
499106.000000,0.330000,0.318084,7.772767,-0.011064,0.000000,-0.400000,-0.062560,7.245545,-0.057701,0.000000
499107.000000,0.330000,0.318131,7.772767,-0.003814,0.000000,-0.400000,-0.062594,7.245545,-0.041437,0.000000
499108.000000,0.330000,0.318147,7.772767,-0.003517,0.000000,-0.400000,-0.062590,7.245545,-0.035617,0.000000
499109.000000,0.330000,0.318155,7.772767,-0.009570,0.000000,-0.400000,-0.062578,7.245545,-0.030802,0.000000
499110.000000,0.330000,0.318152,7.772767,-0.020011,0.000000,-0.400000,-0.062561,7.245545,-0.027847,0.000000
499111.000000,0.330000,0.318138,7.772767,-0.030895,0.000000,-0.400000,-0.062540,7.245545,-0.027079,0.000000
499112.000000,0.330000,0.318113,7.772767,-0.041168,0.000000,-0.400000,-0.062519,7.245545,-0.028264,0.000000
499113.000000,0.330000,0.318080,7.772767,-0.050380,0.000000,-0.400000,-0.062498,7.245545,-0.029898,0.000000
499116.000000,0.330000,0.318041,7.772767,-0.056094,0.000000,-0.400000,-0.062477,7.245545,-0.031465,0.000000
499117.000000,0.330000,0.317943,7.772767,-0.042994,0.000000,-0.400000,-0.062450,7.245545,-0.051411,0.000000
499118.000000,0.330000,0.317925,7.772767,-0.035713,0.000000,-0.400000,-0.062459,7.245545,-0.060431,0.000000
499119.000000,0.330000,0.317911,7.772767,-0.032205,0.000000,-0.400000,-0.062477,7.245545,-0.068467,0.000000
499120.000000,0.330000,0.317901,7.772767,-0.029143,0.000000,-0.400000,-0.062499,7.245545,-0.072476,0.000000
499121.000000,0.330000,0.317896,7.772767,-0.024633,0.000000,-0.400000,-0.062521,7.245545,-0.070750,0.000000
499122.000000,0.330000,0.317894,7.772767,-0.023084,0.000000,-0.400000,-0.062540,7.245545,-0.066870,0.000000
499123.000000,0.330000,0.317889,7.772767,-0.026691,0.000000,-0.400000,-0.062558,7.245545,-0.066028,0.000000
499126.000000,0.330000,0.317880,7.772767,-0.030923,0.000000,-0.400000,-0.062581,7.245545,-0.069190,0.000000
499128.000000,0.330000,0.317855,7.772767,-0.025859,0.000000,-0.400000,-0.062706,7.245545,-0.073056,0.000000
499129.000000,0.330000,0.317855,7.772767,-0.022455,0.000000,-0.400000,-0.062732,7.245545,-0.066675,0.000000
499130.000000,0.330000,0.317859,7.772767,-0.018822,0.000000,-0.400000,-0.062748,7.245545,-0.055886,0.000000
