I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14
646494.000000,-0.500000,-0.557280,0.286402,0.000185,0.134256,0.420843,-1.733618,3.160000,-4.537215,38.486073,0.048289,-0.921852,37.612511,8.953197
646496.000000,-0.500000,-0.560630,0.303149,0.000197,0.148454,0.451800,-1.513149,3.160000,-4.517501,38.387505,0.049825,-1.218651,37.218678,9.723741
646498.000000,-0.500000,-0.552152,0.260762,0.000208,0.157245,0.418214,-0.384137,2.640000,-4.485024,35.625118,0.049989,-1.512017,34.163090,9.267640
646500.000000,-0.500000,-0.550095,0.250474,0.000218,0.140687,0.391378,0.676928,2.640000,-4.455917,35.479588,0.051409,-1.822901,33.708096,12.299038
646502.000000,-0.500000,-0.548389,0.241944,0.000227,0.106830,0.349001,0.858516,2.640000,-4.426898,35.334492,0.052822,-2.144440,33.242874,14.943883
646504.000000,-0.500000,-0.547167,0.235834,0.000237,0.069704,0.305775,1.442437,2.640000,-4.398154,35.190769,0.054230,-2.459603,32.785397,14.075603
646506.000000,-0.500000,-0.552294,0.261471,0.000247,0.040232,0.301950,2.122582,2.640000,-4.351156,34.955780,0.055628,-2.780687,32.230724,15.008149
646508.000000,-0.500000,-0.548673,0.243365,0.000257,0.022745,0.266367,1.672541,2.640000,-4.315696,34.778481,0.057019,-3.125231,31.710268,18.656683
646510.000000,-0.500000,-0.547332,0.236662,0.000266,0.004585,0.241513,0.501332,2.640000,-4.275517,34.577583,0.058402,-3.476846,31.159140,20.343987
646512.000000,-0.500000,-0.546763,0.233817,0.000276,-0.017529,0.216564,0.727800,2.640000,-4.200092,34.200459,0.059770,-3.861762,30.398464,21.365702
646514.000000,-0.500000,-0.548794,0.243969,0.000285,-0.034446,0.209809,1.378917,2.640000,-4.160807,34.004032,0.061130,-4.305977,29.759186,24.651911
646516.000000,-0.500000,-0.546502,0.232512,0.000295,-0.044919,0.187888,1.401617,2.640000,-4.110364,33.751823,0.062480,-4.751367,29.062939,24.822422
646518.000000,-0.500000,-0.544981,0.224903,0.000304,-0.056316,0.168891,1.900459,2.640000,-4.055024,33.475117,0.063819,-5.173251,28.365686,22.691959
646520.000000,-0.500000,-0.543065,0.215324,0.000312,-0.071790,0.143846,2.316452,2.640000,-4.013632,33.268162,0.065150,-5.572149,27.761164,22.342674
