flight,flight_name,axis,state,samples,duration_s,angle_err_mean_deg,angle_err_rms_deg,angle_abs_err_p95_deg,angle_abs_err_p99_deg,angle_target_min_deg,angle_target_max_deg,angle_meas_min_deg,angle_meas_max_deg,angle_lag_ms,angle_corr,angle_output_rms_dps,angle_p_rms_dps,angle_i_rms_dps,angle_d_rms_dps,angle_ff_residual_rms_dps,angle_output_help_pct,angle_p_help_pct,angle_ff_with_sp_rate_pct,gyro_err_mean_dps,gyro_err_rms_dps,gyro_abs_err_p95_dps,gyro_abs_err_p99_dps,gyro_lag_ms,gyro_corr,gyro_output_rms,gyro_p_rms,gyro_i_rms,gyro_d_rms,gyro_output_help_pct,gyro_p_help_pct,gyro_i_help_pct,gyro_d_damping_pct,gyro_d_opposes_p_pct,gyro_ff_residual_rms,start_active_s,end_active_s
1,first_baseline_ff012_no_roll_i_d,roll,example_quiet_center,5816,8.302,-0.086889,0.086889,0.086889,0.086889,-1.8,-1.8,2.667419,4.173521,,,5.641589999999999,0.564777,0.0,0.0,5.076813,100.0,100.0,,-5.665526571698762,5.744665920647227,5.76979425,8.030090200000044,,,179.28331000000003,179.28331000000003,0.0,0.0,0.3613835828600929,0.3613835828600929,0.0,0.0,0.0,0.0,83.142,91.444
1,first_baseline_ff012_no_roll_i_d,roll,example_stable_hold,8810,12.287,0.2397531119182747,1.4451588546403085,3.120371,4.238741,-7.28,8.278061,-4.84126,6.021356,90.0,0.8390714454125157,9.423211718978283,9.393532510789656,0.0,0.0,1.243180112431823,98.5623188405797,100.0,40.65934065934066,1.4780603972758226,8.533894879910948,17.0007763,25.89906833,40.0,0.6655999371534067,32.428800085920564,32.428800085920564,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,6.581,18.868000000000002
1,first_baseline_ff012_no_roll_i_d,roll,example_large_angle,908,1.355,-0.025090993392069924,5.845000814211275,16.50749305,18.463589189999997,-1.32,20.0,2.887684,20.733677,23.0,0.408938820930774,38.84831573078043,37.99250549704247,0.0,0.0,6.193886989234512,96.3963963963964,100.0,65.0,-4.984390704845815,20.46879406521809,44.01512484999999,88.74204019999989,13.0,0.8784938793081966,77.78141667386116,77.78141667386116,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,52.474000000000004,53.829
1,first_baseline_ff012_no_roll_i_d,roll,example_rapid_step_1,824,1.087,-0.6277315266990292,6.555737971760526,14.892494999999993,21.272724259999997,-8.559999,20.0,-5.80136,21.590441,77.0,0.8512921263325088,41.99147799958443,42.61229677089973,0.0,0.0,14.04444215539096,97.55201958384333,100.0,58.82352941176471,17.556376491504853,34.02293713966286,59.901470099999976,101.68737041999992,52.0,1.0135713034274831,129.28715897919926,129.28715897919926,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,48.354,49.441
1,first_baseline_ff012_no_roll_i_d,roll,example_rapid_step_2,683,1.1,-1.1253263938506586,7.458880679178862,18.796776,19.754093,-1.24,20.0,-5.219769,19.8608,62.0,0.7178957398074252,48.86606625161639,48.482724226363516,0.0,0.0,9.177436685324423,99.55947136563876,100.0,33.33333333333333,15.214370080527086,36.30156377547786,71.96780939999995,109.70030223999993,48.0,1.0298636653078819,137.9459403474193,137.9459403474193,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,26.987000000000002,28.087
1,first_baseline_ff012_no_roll_i_d,roll,example_rapid_step_3,830,1.1,2.0635478771084337,6.307686722701923,17.89333365,19.564266200000002,-20.0,-1.04,-21.920834,0.899219,86.0,0.9215972080047238,41.58598630245052,40.999963777991134,0.0,0.0,7.516675268431979,95.65217391304348,100.0,28.57142857142857,-2.303453022891566,30.168935255576677,54.92590794999999,93.93435373000003,48.0,0.9175745515742878,114.64195250450568,114.64195250450568,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,49.744,50.844
1,first_baseline_ff012_no_roll_i_d,pitch,example_quiet_center,5817,8.303,1.5757840000000003,1.575784,1.575784,1.575784,3.5,3.5,0.386,2.050934,,,13.185165,10.085019,0.0,0.0,3.1001459999999983,100.0,100.0,,13.308960961664084,13.352471059744861,13.3951844,16.07966916,,,166.766708,171.01651,4.249796000000001,0.0,0.0,0.0,100.0,0.0,0.0,6.0000000168258785e-06,83.141,91.444
1,first_baseline_ff012_no_roll_i_d,pitch,example_stable_hold,5817,8.303,1.5757840000000003,1.575784,1.575784,1.575784,3.5,3.5,0.386,2.050934,,,13.185165,10.085019,0.0,0.0,3.1001459999999983,100.0,100.0,,13.308960961664084,13.352471059744861,13.3951844,16.07966916,,,166.766708,171.01651,4.249796000000001,0.0,0.0,0.0,100.0,0.0,0.0,6.0000000168258785e-06,83.141,91.444
1,first_baseline_ff012_no_roll_i_d,pitch,example_large_angle,876,1.29,0.11356618036529705,5.509192601277877,14.18331375,16.411531,-19.859999,3.5,-19.799252,-0.667562,1.0,0.49792189483617105,36.62233259890145,35.25883326831879,0.0,0.0,4.765205831670286,97.59903961584634,100.0,68.42105263157895,4.527106533105023,12.634660485114253,25.015853,39.8719615,0.0,0.9512730459602551,59.442603223942704,58.119437038947176,3.5286154094107927,0.0,99.52885747938751,100.0,60.541813898704355,0.0,0.0,1.5098610415956532e-06,52.514,53.804
1,first_baseline_ff012_no_roll_i_d,pitch,example_rapid_step_1,748,1.096,1.4830315401069527,7.142377009721902,21.014587,22.185364,-20.0,3.5,-19.821339,6.792647,77.0,0.907360663177381,45.90781364249355,45.711213819108245,0.0,0.0,9.728412418939792,96.38069705093834,100.0,0.0,-13.029279164438504,33.61466332517542,70.8120959,116.30061027999999,37.0,1.0073407146875402,154.56762335085736,154.6274477944458,0.6471254419668999,0.0,100.0,100.0,44.60916442048518,0.0,0.0,4.053288096419419e-06,39.106,40.202
1,first_baseline_ff012_no_roll_i_d,pitch,example_rapid_step_2,795,1.1,1.4243670226415097,7.1608733704035865,20.328697,22.40861802,-20.0,3.5,-19.721178,6.67186,82.0,0.9128543864232727,46.4111653008991,45.82959055334315,0.0,0.0,8.928780544426722,99.49431099873578,100.0,0.0,-13.177952532075471,34.29969096621496,72.64777159999998,123.64792925999997,39.0,1.01359259552351,157.37242661773806,157.7785756769009,1.2643211595771788,0.0,100.0,100.0,9.01015228426396,0.0,0.0,3.96541653584497e-06,22.947,24.047
1,first_baseline_ff012_no_roll_i_d,pitch,example_rapid_step_3,603,1.082,-0.15930732835820877,5.748563450109609,14.934362699999994,17.267171380000033,1.06,20.0,-0.827075,18.583721,65.0,0.7615409754397588,36.64148658205349,36.79080666825124,0.0,0.0,7.85130218238174,97.17138103161398,100.0,10.526315789473683,17.537528492537312,31.280693378959334,63.07551709999997,77.80269394,36.0,0.9875619832115574,145.5700967360987,143.89118691727583,2.830169973706529,0.0,100.0,100.0,88.6855241264559,0.0,0.0,4.001658031008052e-06,75.116,76.19800000000001
2,second_angle_ff_off,roll,example_quiet_center,2903,3.908,1.3981519999999998,1.398152,1.398152,1.398152,-1.8,-1.8,3.607804,5.103416,,,8.243606999999999,9.087987,0.0,0.0,0.8443799999999995,100.0,100.0,,8.107944436100587,8.37864865236238,10.326042800000002,14.508674260000003,,,187.86596699999998,187.86596699999998,0.0,0.0,99.27611168562565,99.27611168562565,0.0,0.0,0.0,0.0,120.419,124.327
2,second_angle_ff_off,roll,example_stable_hold,5820,7.5280000000000005,0.38220239467353956,1.0721826714328726,2.271216700000001,4.914715040000004,-1.924736,11.35547,-7.042286,6.146548,0.0,0.6550275142590617,6.988975978810724,6.969187364305309,0.0,0.0,0.5463358854711593,99.22157856625634,100.0,37.93103448275862,0.6976264254295533,4.279504721607874,9.029858,11.76883151000002,0.0,0.8055247942923253,16.26211777066224,16.26211777066224,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,9.952,17.48
2,second_angle_ff_off,roll,example_large_angle,1516,2.0300000000000002,0.9099936339050131,1.833160669999527,3.9061895,7.272053799999995,9.52,16.48,2.818819,16.115673,0.0,0.8107537362537581,12.28513000367454,11.915544395383852,0.0,0.0,1.1459196925308766,97.76067179846046,100.0,15.384615384615385,0.24121497097625333,7.469141084511101,14.764231250000002,20.357277499999977,9.0,0.8484097046960154,28.382735737833162,28.382735737833162,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,71.923,73.953
2,second_angle_ff_off,roll,example_rapid_step_1,781,1.099,-0.4000057631242,4.738688963306418,10.694255,10.788541799999999,-1.8,10.91377,-0.715213,11.320886,115.0,1.001503203059706,30.472498116328076,30.801478147867265,0.0,0.0,6.283356846316135,99.23175416133164,100.0,14.705882352941178,-5.3282354775928304,21.068192746389034,42.538431,63.450030800000015,49.0,1.038232037032831,80.05913135449285,80.05913135449285,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,34.967,36.066
2,second_angle_ff_off,roll,example_rapid_step_2,861,1.097,-2.2160947317073174,6.574545407017452,18.753094,22.8539174,-3.28,20.0,-3.089978,22.254831,83.0,0.886947188054124,42.22369294825749,42.734545293535845,0.0,0.0,6.734148962639629,99.0686845168801,100.0,12.5,4.948853183507551,29.127728435696287,56.064505999999994,107.79151679999998,51.0,1.0203191490717158,110.68536660103227,110.68536660103227,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,109.888,110.985
2,second_angle_ff_off,roll,example_rapid_step_3,794,1.098,0.3844000453400504,3.0609179086291096,8.823881849999998,9.708467689999999,-1.8,8.884276,-0.911484,6.962084,112.0,0.8659708949304047,19.458371026190214,19.89596646178963,0.0,0.0,5.111404165453455,99.36628643852978,100.0,15.625,-2.3603282619647357,16.902227023867212,40.452332649999995,61.06078696999994,53.0,1.0141241330073765,64.22846173033267,64.22846173033267,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,3.672,4.7700000000000005
2,second_angle_ff_off,pitch,example_quiet_center,5493,7.109,-0.09980209521208809,0.36675368437280037,0.6254919999999985,1.4096907199999995,-0.07076,2.921689,0.16894,5.284263,0.0,0.8218006240442345,2.4094955909975018,2.347223602942805,0.0,0.0,0.42947783573895004,97.60855884203902,100.0,43.888888888888886,0.17768836191516477,6.528876587933245,12.621595999999998,15.753918359999998,9.0,0.4256695465411764,30.069572921493936,30.03283167431978,0.8900784878436421,0.0,100.0,100.0,51.66151468315301,0.0,0.0,9.048084425866586e-07,10.046,17.155
2,second_angle_ff_off,pitch,example_stable_hold,8463,11.702,-0.02783858785300721,1.115834936711955,2.1551807999999997,4.381481,-6.743259,8.054689,-5.938089,7.284829,85.0,0.9616807897110393,7.068963893711723,7.141343735616691,0.0,0.0,0.8780285788697404,97.93094852299639,100.0,31.372549019607842,0.5166963722084367,7.1471208480293225,13.901576699999994,18.406052399999954,27.0,0.6586033118049666,33.014447714712695,32.87675515877895,1.4061208266643535,0.0,100.0,100.0,56.37751908874703,0.0,0.0,9.777145772621235e-07,37.997,49.699
2,second_angle_ff_off,pitch,example_large_angle,1535,2.044,-0.38787443583061887,1.1644801020371853,1.8791057,2.3515923600000037,-17.42,-4.9,-16.281937,-6.834776,0.0,0.9124453622616979,7.318731822740547,7.452672742942152,0.0,0.0,1.1240624006793203,99.21671018276761,100.0,22.916666666666664,-0.6820476442996743,13.882303902464137,26.832706299999998,32.03373332000002,1.0,0.3709541384847867,63.903798191904514,63.85859679282029,5.173834795341987,0.0,98.04713804713805,100.0,44.377104377104374,0.0,0.0,1.7589232713039536e-06,103.409,105.453
