model,validation,group,value,count,total,coverage,direction_p50,direction_p90,direction_p99,direction_mean,distance_p50,distance_p90,distance_p99,distance_mean,relative_distance_p50,relative_distance_p90,catastrophic_rate
pinhole_k1,base_to_2,overall,all,177939,179838,0.9894404964468021,3.167064234040582,9.641973958126124,23.33326978933065,4.56937809095637,0.15490616545381558,0.6867771897611741,1.7224147611830005,0.27958894927400924,0.09290518703442337,0.30195027201088637,0.005243369918904793
pinhole_k1,base_to_2,pair_type,same,145243,146476,0.9915822387285289,3.2945560642864895,10.194965814896374,23.124301934220973,4.704946724339266,0.144220103834109,0.6861988125815746,1.6618912413254592,0.2723908985481872,0.09875614112997755,0.3132677290097862,0.004275593316028999
pinhole_k1,base_to_2,pair_type,cross,32696,33362,0.9800371680354895,2.6840795800211374,7.708200055011368,27.08669601902581,3.967151671258789,0.1997612067218979,0.6907466433560696,1.9514861222552464,0.3115643126692432,0.0731345267310315,0.22686674442256943,0.009542451676045999
pinhole_k1,base_to_2,distance_m,0.5,31895,31903,0.9997492398833966,5.142912370767283,12.334119395213694,23.074906935655555,6.120258742103962,0.038329500762054214,0.1480468447509179,0.24440525323745954,0.06173623549429567,0.07665900152410843,0.2960936895018358,0.0031979934158959085
pinhole_k1,base_to_2,distance_m,1.0,21641,21706,0.9970054362848982,2.9978195505597847,8.747280373168804,25.15281670287843,4.43136470311696,0.07592607783570404,0.22387988061148079,0.4612806241313581,0.10271970197103586,0.07592607783570404,0.22387988061148079,0.007439582274386581
pinhole_k1,base_to_2,distance_m,1.5,17114,17184,0.9959264432029795,3.7188110198524917,9.743630773368801,27.098928766714447,5.061328690280969,0.10844085726745667,0.40113187845315706,0.7673671483147237,0.16527609642051905,0.07229390484497111,0.26742125230210473,0.007537688442211055
pinhole_k1,base_to_2,distance_m,2.0,26983,27202,0.9919491213881332,3.3428100083909267,9.614703325791979,25.24533856452089,4.813243721113336,0.2613998391049126,0.7770828764238047,1.7777135405599234,0.3621831470544343,0.1306999195524563,0.38854143821190235,0.007300893154949413
pinhole_k1,base_to_2,distance_m,2.5,28464,28742,0.9903277433720687,2.8817407175391754,8.421243869410597,23.484364950876447,4.197369028360784,0.24072433218979028,0.7914178404479346,2.12461797924459,0.36445181860735404,0.0962897328759161,0.3165671361791738,0.005410342889263631
pinhole_k1,base_to_2,distance_m,3.0,23828,24200,0.9846280991735538,2.339080247940568,7.7720071953503265,20.79223977089115,3.6188646646885596,0.3024582467148649,0.8083234312060663,1.9048190035766697,0.3931079900609688,0.10081941557162163,0.26944114373535544,0.004028873594090985
pinhole_k1,base_to_2,distance_m,3.5,28014,28901,0.9693090204491194,2.377808421303284,7.705338073239831,19.016726195242295,3.561297858977492,0.3548276433888473,1.0271117827632479,1.9664800973887469,0.47175294568070003,0.1013793266825278,0.293460509360928,0.003355465124580567
pinhole_k1,base_to_2,beacon_camera,Front,77812,78456,0.9917915774446824,2.875512118244309,9.26685281543772,21.58156916820107,4.263804605758132,0.15653874811874485,0.6449685146748217,1.681493484343936,0.27089241641563483,0.08565889850235664,0.2938560681391066,0.0036755256258674753
pinhole_k1,base_to_2,beacon_camera,Center,49106,49670,0.9886450573786995,3.4901091164135405,10.457169550305716,28.83132267018394,5.096020060739868,0.10903591578522553,0.5612884819537775,1.189489748442499,0.206111105521343,0.09179857145637838,0.27545019560069517,0.009510039506373967
pinhole_k1,base_to_2,beacon_camera,Back,51021,51712,0.986637530940594,3.311835793939272,9.428418958440792,22.322411303757864,4.52853223262464,0.22635364743238107,0.8640153971531768,2.0328493621042014,0.3635719682288368,0.10599802672637064,0.35191060789848816,0.0035279590756747223
pinhole_k1,base_to_2,log_id,1,31895,31903,0.9997492398833966,5.142912370767283,12.334119395213694,23.074906935655555,6.120258742103962,0.038329500762054214,0.1480468447509179,0.24440525323745954,0.06173623549429567,0.07665900152410843,0.2960936895018358,0.0031979934158959085
pinhole_k1,base_to_2,log_id,3,21641,21706,0.9970054362848982,2.9978195505597847,8.747280373168804,25.15281670287843,4.43136470311696,0.07592607783570404,0.22387988061148079,0.4612806241313581,0.10271970197103586,0.07592607783570404,0.22387988061148079,0.007439582274386581
pinhole_k1,base_to_2,log_id,5,17114,17184,0.9959264432029795,3.7188110198524917,9.743630773368801,27.098928766714447,5.061328690280969,0.10844085726745667,0.40113187845315706,0.7673671483147237,0.16527609642051905,0.07229390484497111,0.26742125230210473,0.007537688442211055
pinhole_k1,base_to_2,log_id,7,26983,27202,0.9919491213881332,3.3428100083909267,9.614703325791979,25.24533856452089,4.813243721113336,0.2613998391049126,0.7770828764238047,1.7777135405599234,0.3621831470544343,0.1306999195524563,0.38854143821190235,0.007300893154949413
pinhole_k1,base_to_2,log_id,9,28464,28742,0.9903277433720687,2.8817407175391754,8.421243869410597,23.484364950876447,4.197369028360784,0.24072433218979028,0.7914178404479346,2.12461797924459,0.36445181860735404,0.0962897328759161,0.3165671361791738,0.005410342889263631
pinhole_k1,base_to_2,log_id,11,23828,24200,0.9846280991735538,2.339080247940568,7.7720071953503265,20.79223977089115,3.6188646646885596,0.3024582467148649,0.8083234312060663,1.9048190035766697,0.3931079900609688,0.10081941557162163,0.26944114373535544,0.004028873594090985
pinhole_k1,base_to_2,log_id,13,28014,28901,0.9693090204491194,2.377808421303284,7.705338073239831,19.016726195242295,3.561297858977492,0.3548276433888473,1.0271117827632479,1.9664800973887469,0.47175294568070003,0.1013793266825278,0.293460509360928,0.003355465124580567
pinhole_k1,base_to_2,image_region,center,12328,12397,0.9944341372912802,2.5936609642578827,6.993777554526133,11.38465133512725,3.3326897679245975,0.1472966444701549,0.5263908971907874,1.1331223049989068,0.22598700323517995,0.07401164585563222,0.2489097123620591,0.0016223231667748216
pinhole_k1,base_to_2,image_region,edge,165611,167441,0.9890707771692716,3.216238125818558,9.91012960345147,23.905135942021264,4.661436551121067,0.15556996136626733,0.7012611336505713,1.7456102187081828,0.2835790513250004,0.09468032188299058,0.30643547978480457,0.005512918827855638
pinhole_k1,base_to_2,pose_change,low,89155,89922,0.9914703854451636,3.0174543182475984,9.491038074408413,22.88066828421296,4.418813878926317,0.145093413467571,0.6290594744298005,1.537449927561689,0.25576132462608026,0.0839289820641036,0.28210577337407866,0.0044865683360439685
pinhole_k1,base_to_2,pose_change,high,88784,89916,0.9874104719960852,3.325844873836573,9.797783358659277,23.9483788767785,4.720571462774934,0.16735060181893147,0.7359823626829163,1.8292197979897877,0.3035161419605981,0.10372080145849047,0.3235503972119557,0.00600333393404217
double_sphere,base_to_2,overall,all,177817,179838,0.9887621081195298,2.6723952053605697,8.116120976873065,19.52287675054618,3.8706746767824387,0.13099733895459553,0.6134468694622318,1.778271156148267,0.2505999092061837,0.07762923176676129,0.2609784638437428,0.004206571925069032
double_sphere,base_to_2,pair_type,same,145133,146476,0.990831262459379,2.8304816939373088,8.65628034595451,19.215820894304628,4.03684831734479,0.11857744736298415,0.6069113451943716,1.7842239200189336,0.2422226435854411,0.08075392674259681,0.268179537000651,0.003341762383468956
double_sphere,base_to_2,pair_type,cross,32684,33362,0.9796774773694623,2.1394464620352647,5.966731600232967,24.493891142457986,3.1327821613089393,0.18546055938327233,0.6480822485310783,1.7511306453487159,0.28779907978919755,0.06739335333688742,0.2156636861236874,0.008046750703708236
