I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13
527468.000000,-6.723822,4.529728,45.014202,-36.426262,0.000000,-5.039309,-5.300562,-1.045013,-7.192054,0.000000,2.315330,-19.242777,6.404267
527469.000000,-5.805092,4.529728,41.339283,-36.419029,0.000000,-3.392782,-5.300562,-7.631118,-7.193390,0.000000,2.306398,-19.246498,6.414057
527470.000000,-5.477899,4.649903,40.511208,-36.416668,0.000000,-3.878824,-5.245314,-5.465960,-7.194082,0.000000,2.298162,-19.250669,6.422734
527472.000000,-5.654554,4.649903,41.217827,-36.402241,0.000000,-7.649242,-5.245314,9.615715,-7.190717,0.000000,2.290173,-19.258558,6.430116
527474.000000,-1.924666,4.817232,26.967592,-36.382679,0.000000,-4.682716,-5.012384,-1.318674,-7.182982,0.000000,2.274258,-19.283945,6.446365
527475.000000,-1.468687,4.817232,25.143673,-36.378281,0.000000,0.207703,-5.012384,-20.880350,-7.186636,0.000000,2.271111,-19.283901,6.451756
527476.000000,-2.354154,4.867784,28.887749,-36.374279,0.000000,2.276664,-5.027498,-29.216648,-7.191749,0.000000,2.267036,-19.281786,6.457270
527477.000000,-3.560275,4.867784,33.712234,-36.368378,0.000000,-0.259016,-5.027498,-19.073929,-7.195087,0.000000,2.261971,-19.282183,6.462132
527478.000000,-4.165596,4.940407,36.424011,-36.364868,0.000000,-5.238205,-4.987350,1.003420,-7.194912,0.000000,2.256661,-19.287521,6.465903
527479.000000,-3.867898,4.940407,35.233223,-36.358704,0.000000,-8.000255,-4.987350,12.051617,-7.192803,0.000000,2.251960,-19.295593,6.468736
527480.000000,-3.249201,5.000627,32.999310,-36.354866,0.000000,-6.670988,-4.883837,7.148603,-7.192319,0.000000,2.248059,-19.302309,6.471015
527482.000000,-3.405288,5.000627,33.623661,-36.343098,0.000000,-3.613241,-4.883837,-5.082382,-7.194098,0.000000,2.243853,-19.305983,6.473736
527483.000000,-5.583515,5.073310,42.627304,-36.322121,0.000000,-6.122512,-4.837374,5.140553,-7.196029,0.000000,2.229275,-19.315355,6.487695
527484.000000,-4.984297,5.192798,40.708378,-36.319736,0.000000,-10.983092,-4.712938,25.080616,-7.194618,0.000000,2.220606,-19.326723,6.499139
527485.000000,-2.753778,5.192798,31.786304,-36.314175,0.000000,-13.345473,-4.712938,34.530140,-7.188575,0.000000,2.213910,-19.340479,6.511347
527486.000000,-0.745522,5.272765,24.073145,-36.312069,0.000000,-11.969767,-4.529943,29.759293,-7.187437,0.000000,2.209182,-19.352865,6.523678
527487.000000,-1.055007,5.272765,25.311089,-36.307640,0.000000,-8.509418,-4.529943,15.917896,-7.184651,0.000000,2.204085,-19.361790,6.536173
527488.000000,-3.443169,5.359948,35.212467,-36.304813,0.000000,-5.772150,-4.424280,5.391479,-7.184294,0.000000,2.196727,-19.367960,6.548286
527489.000000,-5.445255,5.359948,43.220810,-36.297249,0.000000,-6.059890,-4.424280,6.542439,-7.183149,0.000000,2.187917,-19.374359,6.558737
527490.000000,-5.354211,5.476721,43.323730,-36.294651,0.000000,-8.798433,-4.316160,17.929092,-7.181989,0.000000,2.180045,-19.383406,6.566625
527492.000000,-3.959108,5.476721,37.743317,-36.281441,0.000000,-11.196924,-4.316160,27.523056,-7.172356,0.000000,2.174236,-19.394779,6.572503
527494.000000,-5.019731,5.632279,42.608040,-36.258862,0.000000,-24.366308,-3.851116,82.060768,-7.155431,0.000000,2.157823,-19.449841,6.586310
527495.000000,-5.624789,5.632279,45.028275,-36.250980,0.000000,-32.196255,-3.851116,113.380554,-7.135589,0.000000,2.151756,-19.482075,6.587942
527496.000000,-5.362418,5.710927,44.293381,-36.247040,0.000000,-38.449188,-3.356552,140.370544,-7.133602,0.000000,2.146587,-19.520493,6.587663
527497.000000,-4.272595,5.710927,39.934090,-36.240051,0.000000,-40.234665,-3.356552,147.512451,-7.107788,0.000000,2.142950,-19.560658,6.586067
527498.000000,-2.948657,5.751762,34.801674,-36.234085,0.000000,-35.170273,-2.829838,129.361740,-7.106069,0.000000,2.140754,-19.595737,6.584122
527499.000000,-2.269676,5.751762,32.085754,-36.228470,0.000000,-25.322426,-2.829838,89.970352,-7.090324,0.000000,2.138921,-19.621002,6.583121
527500.000000,-2.455437,5.783572,32.956039,-36.222702,0.000000,-16.321659,-2.538723,55.131744,-7.088998,0.000000,2.136209,-19.637325,6.584186
527502.000000,-2.847491,5.783572,34.524250,-36.210617,0.000000,-11.447413,-2.538723,35.634762,-7.076526,0.000000,2.132435,-19.648844,6.587243
527503.000000,-1.976102,5.840277,31.265516,-36.193176,0.000000,-0.929265,-2.402792,-5.894108,-7.073144,0.000000,2.124031,-19.657858,6.598892
527504.000000,-1.194044,5.891772,28.343264,-36.189323,0.000000,7.998463,-2.449722,-41.792740,-7.079378,0.000000,2.120752,-19.650040,6.605397
527505.000000,-1.005235,5.891772,27.588028,-36.184494,0.000000,15.178606,-2.449722,-70.513313,-7.091718,0.000000,2.117840,-19.635015,6.611366
527506.000000,-1.581662,5.937154,30.075264,-36.179855,0.000000,18.396406,-2.682531,-84.315750,-7.094253,0.000000,2.114269,-19.616781,6.617590
527507.000000,-2.319008,5.937154,33.024647,-36.174076,0.000000,16.354574,-2.682531,-76.148422,-7.107579,0.000000,2.109829,-19.600601,6.624212
527508.000000,-2.355107,5.998514,33.414482,-36.170265,0.000000,9.522671,-2.861254,-49.535698,-7.109519,0.000000,2.105503,-19.591249,6.630392
527509.000000,-1.531680,5.998514,30.120773,-36.164993,0.000000,1.753107,-2.861254,-18.457443,-7.112750,0.000000,2.102313,-19.589630,6.635642
527510.000000,-0.527912,6.035627,26.254158,-36.160400,0.000000,-2.663574,-2.853977,-0.761613,-7.112883,0.000000,2.100201,-19.592289,6.640616
527512.000000,0.165220,6.035627,23.481630,-36.152184,0.000000,-3.969649,-2.853977,4.462687,-7.111321,0.000000,2.098469,-19.595804,6.646408
527514.000000,8.687455,5.991562,-10.783571,-36.145199,0.000000,-28.540176,-2.460363,104.319252,-7.089201,0.000000,2.106496,-19.648520,6.663575
527515.000000,14.018136,5.991562,-32.106293,-36.150818,0.000000,-24.064426,-2.460363,86.416252,-7.074079,0.000000,2.119760,-19.671701,6.665981
527516.000000,17.305159,5.780780,-46.097511,-36.152348,0.000000,-10.062447,-2.234591,31.311424,-7.073108,0.000000,2.136608,-19.680773,6.667719
527517.000000,16.509600,5.780780,-42.915276,-36.159859,0.000000,-0.083376,-2.234591,-8.604858,-7.074614,0.000000,2.152546,-19.679531,6.670094
527518.000000,12.719543,5.586185,-28.533436,-36.160885,0.000000,-0.769844,-2.249384,-5.918160,-7.075649,0.000000,2.164407,-19.678659,6.673655
527519.000000,9.207831,5.586185,-14.486588,-36.163422,0.000000,-7.065004,-2.249384,19.262480,-7.072278,0.000000,2.172593,-19.684052,6.678040
527520.000000,7.996202,5.479697,-10.066023,-36.164082,0.000000,-10.647004,-2.147032,33.999889,-7.069953,0.000000,2.179620,-19.693281,6.682723
527522.000000,7.762914,5.479697,-9.132870,-36.167278,0.000000,-10.656386,-2.147032,34.037418,-7.058040,0.000000,2.186116,-19.702995,6.688690
527523.000000,-0.987839,5.419382,25.628883,-36.162300,0.000000,-31.061331,-1.970646,116.362740,-7.028881,0.000000,2.181466,-19.749750,6.718023
527524.000000,-7.023157,5.572808,50.383858,-36.160000,0.000000,-48.899895,-1.404905,189.979950,-7.026530,0.000000,2.166318,-19.799299,6.742841
527525.000000,-9.891111,5.572808,61.855675,-36.149174,0.000000,-60.857418,-1.404905,237.810059,-6.984913,0.000000,2.147340,-19.861061,6.770062
527526.000000,-9.597904,5.837108,61.740051,-36.147537,0.000000,-64.525421,-0.514204,256.044861,-6.982901,0.000000,2.128561,-19.926542,6.797342
527527.000000,-7.611946,5.837108,53.796219,-36.138123,0.000000,-59.375446,-0.514204,235.444977,-6.941698,0.000000,2.112071,-19.986834,6.823653
527528.000000,-5.311369,6.046708,45.432308,-36.136604,0.000000,-47.299255,0.244665,190.175690,-6.939943,0.000000,2.098619,-20.034952,6.847735
527529.000000,-3.458085,6.046708,38.019169,-36.129951,0.000000,-34.360245,0.244665,138.419647,-6.915720,0.000000,2.088258,-20.069994,6.868161
527530.000000,-1.896934,6.170088,32.268089,-36.128120,0.000000,-26.523264,0.679255,108.810074,-6.913967,0.000000,2.080993,-20.097036,6.884091
527532.000000,-0.088107,6.170088,25.032780,-36.119358,0.000000,-24.029465,0.679255,98.834877,-6.879375,0.000000,2.076740,-20.121460,6.896496
527534.000000,3.911989,6.249427,9.349753,-36.110050,0.000000,-8.612359,1.182190,39.178196,-6.858411,0.000000,2.069659,-20.168884,6.945765
527535.000000,2.851339,6.249427,13.592352,-36.107670,0.000000,-5.938380,1.182190,28.482281,-6.853426,0.000000,2.065407,-20.175488,6.966653
527536.000000,1.920734,6.310627,17.559572,-36.105659,0.000000,-9.020940,1.295811,41.267002,-6.850884,0.000000,2.060916,-20.185116,6.985536
527537.000000,2.218551,6.310627,16.368303,-36.102795,0.000000,-14.002652,1.295811,61.193851,-6.840175,0.000000,2.057882,-20.199606,7.001047
